col_1,col_2,col_3,col_4,col_5,col_6,composite_z_index,composite_weighted_index,segment,cluster
33500000.0,24,58.0,12.8,65,630,-0.7494871465348105,0.0,baseline,3
9991.0,32,19.0,15.0,107,1147,-0.7505405714408824,0.0,baseline,3
21419361.0,33,59.0,5.0,68,833,-0.7586544519625145,0.0,baseline,3
3.08e+72,73,11.0,9.0,64,452,-0.7768679147187332,0.0,baseline,2
908.0,58,6.0,14.6,70,931,-0.7598700770911705,0.0,baseline,3
7.0,73,36.0,16.2,95,459,-0.754012582493971,0.0,baseline,3
3.2e+87,61,76.0,2.2,69,1125,-0.7502244070894447,0.0,baseline,2
284.0,19427,721.0,200.0,18,11,0.44434113784048956,0.0,baseline,0
74.0,15839,1230.0,191.0,9,6,0.5172093650512128,0.0,baseline,0
380.0,23047,120.0,90.0,10,2,0.12410829752758595,0.0,baseline,0
787.0,19278,1763.0,405.0,5,6,1.2172768734455415,0.0,top_5%,0
320.0,22189,1404.0,162.0,8,5,0.7343507693478641,0.0,baseline,0
82.0,4352,1734.0,10.0,17,3,0.03381421427170306,0.0,baseline,0
730.0,24856,45.0,146.0,9,1,0.25083319990966496,0.0,baseline,0
12.0,12138,1024.0,258.0,9,0,0.4381374231942895,0.0,baseline,0
552.0,8406,407.0,353.0,12,7,0.24516841754699767,0.0,baseline,0
162.0,20350,1549.0,411.0,10,10,1.1768889552464812,0.0,top_5%,0
363.0,8132,49.0,311.0,12,11,0.019986720215938503,0.0,baseline,0
177.0,8254,422.0,285.0,13,11,0.12549245210928922,0.0,baseline,0
813.0,4847,1433.0,467.0,5,10,0.7428365029788485,0.0,baseline,0
128.0,1341,163.0,314.0,17,4,-0.14322085728793477,0.0,baseline,0
316.0,23850,688.0,431.0,17,11,0.9811581803470457,0.0,top_5%,0
20.0,21738,1679.0,349.0,17,2,1.1616847874290024,0.0,top_5%,0
836.0,6862,1439.0,85.0,8,6,0.12921989634123063,0.0,baseline,0
722.0,21520,699.0,239.0,9,9,0.5707645167096426,0.0,baseline,0
882.0,17706,1090.0,487.0,19,4,1.0467483842071805,0.0,top_5%,0
121.0,12370,1266.0,77.0,15,8,0.2196860942340843,0.0,baseline,0
569.0,14013,787.0,162.0,19,6,0.23254402159152723,0.0,baseline,0
882.0,14309,1043.0,64.0,12,11,0.1691936343761902,0.0,baseline,0
637.0,8701,210.0,83.0,7,3,-0.3038784176024496,0.0,baseline,0
363.0,4086,343.0,327.0,14,7,0.03767274536894877,0.0,baseline,0
533.0,7576,1671.0,368.0,6,0,0.7468018422671479,0.0,baseline,0
247.0,3736,67.0,19.0,6,8,-0.630462524364714,0.0,baseline,0
981.0,24754,1316.0,391.0,4,10,1.1874592063325815,0.0,top_5%,0
209.0,14502,1615.0,162.0,16,8,0.576286155649247,0.0,baseline,0
143.0,1810,174.0,126.0,8,7,-0.45836130761883315,0.0,baseline,0
811.0,17007,1476.0,485.0,14,2,1.1742235197460145,0.0,top_5%,0
497.0,3917,185.0,144.0,13,8,-0.355696401477814,0.0,baseline,0
813.0,15687,673.0,239.0,14,9,0.3769810097418079,0.0,baseline,0
52.0,15741,809.0,286.0,10,0,0.5160067834217754,0.0,baseline,0
945.0,11789,1623.0,36.0,19,10,0.27010063061380146,0.0,baseline,0
40.0,18970,1367.0,491.0,11,9,1.2035559346443572,0.0,top_5%,0
315.0,20847,1262.0,368.0,11,7,1.0021947949331356,0.0,top_5%,0
824.0,14225,160.0,457.0,5,0,0.5150615247094581,0.0,baseline,0
830.0,2864,1860.0,160.0,6,3,0.30371164286466057,0.0,baseline,0
587.0,9041,899.0,172.0,19,4,0.13830602872834755,0.0,baseline,0
